topic,mapped_x,mapped_y
Pre training objectives,0.06844726708715987,1.0277777777777777
Pre trained models,0.027777777777777794,0.9871082884683957
Fine tuning LLM,0.1736239526748111,0.9894181640576224
Instruction tuning,0.12935706248589945,0.9261984930696561
Incontext Learning,0.06613739149793321,0.8819316028807445
Prompting methods,0.26089735681703513,0.9166666666666666
Multiprompt Learning,0.13888888888888892,0.7946581987385204
Prompt aware training methods,0.3750256831273999,0.8955029947819114
Retrieval Methods,0.2864919027495767,0.7690636528059789
Retrieval Augmented Generation,0.16005256077364421,0.6805298724281557
Model Distillation,0.4533474465469104,0.8055555555555556
Model Quantization,0.25000000000000006,0.6022081090086452
Model Pruning,0.5764274135799888,0.8015878255062004
Mixture of Experts Model,0.44362674301325394,0.6119288125423016
Agentic AI,0.2539677300493552,0.47912814197556675
Multimodal LLMs,0.5221941631450926,0.533361392410463
Vision Language Models,0.7420225811417234,0.6388888888888888
Policy learning using DQN,0.4166666666666668,0.3135329744138323
RLHF,0.6793290034087698,0.3762265521467858
